type	class	name	settlement	playerID	x	y	xoffset	yoffset
building	rtownhall	rtownhall_1	Settlement_player_	0	2202	8372	0	0
building	rarena	rarena_2	Settlement_player_	0	3233.76	8720.96	1031.76	348.965
building	rblacksmith	rblacksmith_3	Settlement_player_	0	2143.76	9075.96	-58.2358	703.965
building	rtemple	rtemple_4	Settlement_player_	0	3093.76	7750.96	891.764	-621.035
building	rtavern	rtavern_5	Settlement_player_	0	1183.76	8535.96	-1018.24	163.965
building	rbarracks	rbarracks_6	Settlement_player_	0	1433.76	7505.96	-768.236	-866.035
building	rtownhall	rtownhall_8	ettlement_player_	0	22873	9260	0	0
building	rarena	rarena_9	ettlement_player_	0	23904.8	9608.96	1031.76	348.965
building	rblacksmith	rblacksmith_10	ettlement_player_	0	22814.8	9963.96	-58.2363	703.965
building	rtemple	rtemple_11	ettlement_player_	0	23764.8	8638.96	891.764	-621.035
building	rtavern	rtavern_12	ettlement_player_	0	21854.8	9423.96	-1018.24	163.965
building	rbarracks	rbarracks_13	ettlement_player_	0	22104.8	8393.96	-768.236	-866.035
decoration	broadleaf_1	N/A	Settlement_player_	0	1787.76	8892.96	-414.236	520.965
decoration	broadleaf_1	N/A	ettlement_player_	0	22458.8	9780.96	-414.236	520.965
